format,level,source,variable,target,key
nmdbioticv1.1,individual,,fungusspores,Individual,
nmdbioticv1.1,individual,,fungusouter,Individual,
nmdbioticv1.1,individual,,blackspot,Individual,
nmdbioticv1.1,individual,,vertebrae,Individual,
nmdbioticv1.1,individual,,gonadweight,Individual,
nmdbioticv1.1,individual,,liverweight,Individual,
nmdbioticv1.1,individual,,stomachweight,Individual,
nmdbioticv1.1,individual,,diameter,Individual,
nmdbioticv1.1,individual,,mantlelength,Individual,
nmdbioticv1.1,individual,,carapacelength,Individual,
nmdbioticv1.1,individual,,headlength,Individual,
nmdbioticv1.1,individual,,snouttoendoftail,Individual,
nmdbioticv1.1,individual,,snouttoendsqueezed,Individual,
nmdbioticv1.1,individual,,snouttoanalfin,Individual,
nmdbioticv1.1,individual,,snouttodorsalfin,Individual,
nmdbioticv1.1,individual,,forklength,Individual,
nmdbioticv1.1,individual,,snouttoboneknob,Individual,
nmdbioticv1.1,individual,,lengthwithouthead,Individual,
nmdbioticv1.1,individual,,carapacewidth,Individual,
nmdbioticv1.1,individual,,rightclawwidth,Individual,
nmdbioticv1.1,individual,,rightclawlength,Individual,
nmdbioticv1.1,individual,,meroswidth,Individual,
nmdbioticv1.1,individual,,meroslength,Individual,
nmdbioticv1.1,individual,,japanesecut,Individual,
nmdbioticv1.1,individual,,geneticsnumber,Individual,
nmdbioticv1.1,individual,,comment,Individual,
nmdbioticv1.1,individual,,age,Individual,
nmdbioticv1.1,individual,,spawningage,Individual,
nmdbioticv1.1,individual,,spawningzones,Individual,
nmdbioticv1.1,individual,,readability,Individual,
nmdbioticv1.1,individual,,otolithtype,Individual,
nmdbioticv1.1,individual,,otolithedge,Individual,
nmdbioticv1.1,individual,,otolithcentre,Individual,
nmdbioticv1.1,individual,,calibration,Individual,
nmdbioticv1.1,individual,,growthzone1,Individual,
nmdbioticv1.1,individual,,growthzone2,Individual,
nmdbioticv1.1,individual,,growthzone3,Individual,
nmdbioticv1.1,individual,,growthzone4,Individual,
nmdbioticv1.1,individual,,growthzone5,Individual,
nmdbioticv1.1,individual,,growthzone6,Individual,
nmdbioticv1.1,individual,,growthzone7,Individual,
nmdbioticv1.1,individual,,growthzone8,Individual,
nmdbioticv1.1,individual,,growthzone9,Individual,
nmdbioticv1.1,individual,,growthzonestotal,Individual,
nmdbioticv1.1,individual,,coastalannuli,Individual,
nmdbioticv1.1,individual,,oceanicannuli,Individual,
